time,q1,q2,q3,qd1,qd2,qd3,e1,e2,e3,tau1,tau2,tau3
8.614421636,1.0000073588331935,-0.5000028453761121,0.7999875969680127,1.0,-0.5,0.8,-7.358833193471526e-06,2.8453761120594834e-06,1.2403031987351376e-05,-12.437548939343497,-3.7699316425873968,-1.5123972203608786
8.62446882,1.0000072298514548,-0.5000034803164777,0.7999888407723121,1.0,-0.5,0.8,-7.229851454848557e-06,3.4803164776775475e-06,1.1159227687906892e-05,-12.437548939343497,-3.7699316425873968,-1.5123972203608786
8.634380444,1.0000070962194996,-0.5000040990777195,0.7999900708597533,1.0,-0.5,0.8,-7.0962194995694006e-06,4.099077719477151e-06,9.929140246778267e-06,-12.437534703411307,-3.7699227126098713,-1.5123971668612477
8.644402691,1.000006958163964,-0.5000047013646587,0.7999912862745858,1.0,-0.5,0.8,-6.958163963899366e-06,4.701364658687979e-06,8.713725414222218e-06,-12.437527792586796,-3.769918408738481,-1.512397147414532
8.654373869,1.0000068159113749,-0.5000052869044945,0.7999924860948471,1.0,-0.5,0.8,-6.815911374857819e-06,5.286904494528066e-06,7.513905152967126e-06,-12.437520983969117,-3.769914192438826,-1.512397132137664
8.664228644,1.0000066705330024,-0.5000058604802785,0.7999936764477603,1.0,-0.5,0.8,-6.670533002406387e-06,5.860480278507829e-06,6.323552239728691e-06,-12.437520983969117,-3.769914192438826,-1.512397132137664
8.674315404,1.0000065213916645,-0.5000064167240665,0.7999948493171676,1.0,-0.5,0.8,-6.521391664460197e-06,6.416724066538038e-06,5.150682832466558e-06,-12.437507540048133,-3.7699059294996617,-1.512397114767554
8.684227868,1.0000063687117615,-0.5000069554262547,0.7999960038798695,1.0,-0.5,0.8,-6.3687117615174316e-06,6.955426254728891e-06,3.996120130578262e-06,-12.437501050902767,-3.769901972057657,-1.5123971127361933
8.694365836,1.0000062127167448,-0.5000074763989729,0.7999971393474374,1.0,-0.5,0.8,-6.212716744835589e-06,7.47639897291652e-06,2.860652562608479e-06,-12.437494682271817,-3.769898111695448,-1.5123971145608393
8.70423078,1.0000060536289117,-0.5000079794758377,0.7999982549663066,1.0,-0.5,0.8,-6.053628911706355e-06,7.979475837749384e-06,1.7450336934343724e-06,-12.437488438113512,-3.769894350331805,-1.5123971201624942
8.714398036,1.0000058916692065,-0.5000084645116895,0.7999993500178321,1.0,-0.5,0.8,-5.891669206503636e-06,8.46451168945439e-06,6.499821679772921e-07,-12.43748232218245,-3.769890689748126,-1.5123971294599645
8.724526137,1.0000057270570262,-0.5000089313823125,0.8000004238183093,1.0,-0.5,0.8,-5.7270570261724885e-06,8.931382312504788e-06,-4.2381830922533226e-07,-12.437476338029919,-3.7698871315894036,-1.512397142369987
8.734593722,1.000005560607744,-0.5000093840149474,0.8000014816979637,1.0,-0.5,0.8,-5.560607744037327e-06,9.38401494743335e-06,-1.481697963656714e-06,-12.437476338029919,-3.7698871315894036,-1.512397142369987
8.744538537,1.0000053925088017,-0.5000098222015424,0.800002522906902,1.0,-0.5,0.8,-5.392508801715934e-06,9.822201542442066e-06,-2.5229069019472306e-06,-12.437470489004395,-3.7698836773653066,-1.5123971588073502
8.755503385,1.0000052229328964,-0.5000102456677417,0.8000035466011741,1.0,-0.5,0.8,-5.222932896398191e-06,1.0245667741659581e-05,-3.546601174075903e-06,-12.437464645626005,-3.769880242793717,-1.512397180097335
8.764942012,1.0000050520502104,-0.5000106541553174,0.8000045519646425,1.0,-0.5,0.8,-5.052050210396786e-06,1.0654155317424419e-05,-4.551964642440787e-06,-12.437458930749152,-3.7698769005213615,-1.5123972059025903
8.774702241,1.0000048800285637,-0.5000110474238992,0.8000055382118597,1.0,-0.5,0.8,-4.880028563691852e-06,1.1047423899235298e-05,-5.538211859668074e-06,-12.437453350329282,-3.769873653972796,-1.512397236088196
8.785047154,1.000004707033328,-0.5000114252510507,0.8000065045884963,1.0,-0.5,0.8,-4.70703332799971e-06,1.1425251050689589e-05,-6.504588496270003e-06,-12.4374479077465,-3.769870505040681,-1.51239727052015
8.794861355,1.0000045332273415,-0.500011787432295,0.8000074503716812,1.0,-0.5,0.8,-4.5332273415077395e-06,1.178743229501844e-05,-7.4503716811502585e-06,-12.437442606133406,-3.769867455460999,-1.5123973090619534
8.804619986,1.0000043587708263,-0.5000121337811212,0.8000083748703036,1.0,-0.5,0.8,-4.3587708262737834e-06,1.213378112119301e-05,-8.374870303584636e-06,-12.437437448422799,-3.769864506841182,-1.5123973515747646
8.815005327,1.0000041838213103,-0.5000124641289723,0.8000092774252782,1.0,-0.5,0.8,-4.183821310288494e-06,1.2464128972267119e-05,-9.277425278120255e-06,-12.437432437349154,-3.7698616606610025,-1.5123973979176233
